fen,actions,H,U,HU,result
rnbqk2r/pp1p2pp/2p1pn2/6B1/1b1P4/2N1P3/PPP2PPP/R2QKB1R w KQkq - 1 7,4235,,0.006854337640106678,,1-0
rnbqk2r/pp4pp/2p1pn2/3p2B1/1b1P1P2/2N1P3/PPP3PP/R2QKB1R w KQkq - 0 8,1665,,0.006297438405454159,,1-0
rnbqk2r/pp4pp/2p2n2/3pp1B1/1b1P1P2/2NBP3/PPP3PP/R2QK2R w KQkq - 0 9,8680,,0.006251677870750427,,1-0
rn1qk2r/pp4pp/2p5/3p2B1/1b3Pb1/2NBP3/PPP3PP/R2QK2R w KQkq - 1 10,1045,,0.004279353655874729,,1-0
rn1qk2r/pp4pp/2p5/3p2B1/1b3P2/2NBP3/PPP3PP/R3K2R w KQkq - 0 11,1270,,0.007478254847228527,,1-0
rn1qk2r/pp4pp/2p5/3p2B1/5P2/4P3/PPP3PP/2KR3R w kq - 0 12,6435,,0.007770644035190344,,1-0
rn1q1rk1/pp4pp/2p5/3p2B1/4PP2/8/PPP3PP/2KR3R w - - 1 13,12260,,0.007804067339748144,,1-0
r4rk1/pp4pp/n1p5/3p4/4PP2/8/PPP3PP/2KR3R w - - 1 14,2955,,0.00877715740352869,,1-0
r4rk1/pp4pp/n1p5/8/1P1pPP2/8/P1P3PP/2KR3R w - - 0 15,8995,,0.00799603946506977,,1-0
r4rk1/pp4pp/2p5/2n1P3/1P1p1P2/8/P1P3PP/2KR3R w - - 1 16,8040,,0.01390089187771082,,1-0
r4rk1/pp4pp/2p5/4P3/5P2/3p4/P1P3PP/2KR3R w - - 0 17,3240,,0.0033477891702204943,,1-0
3r1rk1/pp4pp/2p5/4P3/5P2/8/P5PP/2KR3R w - - 1 18,1195,,0.008173768408596516,,1-0
5rk1/pp4pp/2p5/4P3/5P2/8/P5PP/2K4R w - - 0 19,2220,,0.012623662129044533,,1-0
3r2k1/pp4pp/2p5/4P3/5P2/8/P5PP/2KR4 w - - 2 20,1195,,0.0072386902756989,,1-0
6k1/pp4pp/2p5/4P3/5P2/8/P5PP/2K5 w - - 0 21,11555,,0.014816276729106903,,1-0
6k1/pp4pp/4P3/2p5/5P2/8/P5PP/2K5 w - - 0 22,675,,0.014398682862520218,,1-0
6k1/pp4pp/4P3/8/2p2P2/8/P1K3PP/8 w - - 0 23,14115,,0.00764096574857831,,1-0
6k1/pp2P1pp/8/8/5P2/2p5/P1K3PP/8 w - - 0 24,16676,,0.01232145819813013,,1-0
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,16920,0.3527347445487976,0.0027713938616216183,0.0009775669058232073,0-1
rnbqkbnr/ppppp1pp/5p2/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2,16240,,0.0031709542963653803,,0-1
rnbqkbnr/ppp1p1pp/5p2/3p4/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,18420,1.652543067932129,0.0027889739722013474,0.0046088996044044706,0-1
rn1qkbnr/ppp1p1pp/5p2/8/3P2b1/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,16600,0.629938542842865,0.004254565574228764,0.0026801148382590845,0-1
rn1qkbnr/ppp3pp/4pp2/8/3P2b1/3B1N2/PPP2PPP/RNBQK2R b KQkq - 1 5,19340,1.2750884294509888,0.003874601796269417,0.004940459919153151,0-1
rn1qk1nr/ppp3pp/4pp2/8/1b1P2b1/2PB1N2/PP3PPP/RNBQK2R b KQkq - 0 6,7965,,0.003003043821081519,,0-1
rn1qk1nr/ppp3pp/4pp2/8/3P2b1/5N2/PP3PPP/RNBQ1RK1 b kq - 1 7,19765,,0.0036116878036409616,,0-1
rn1qk2r/ppp3pp/4pp1n/8/3P2b1/5N1P/PP3PP1/RNBQ1RK1 b kq - 0 8,19205,,0.003785824403166771,,0-1
rn1q1rk1/ppp3pp/4pp1n/8/3P2b1/3Q1N1P/PP3PP1/RNB2RK1 b - - 2 9,17240,,0.0040808492340147495,,0-1
rn1q1rk1/ppp4p/4pppn/6N1/3P2b1/3Q3P/PP3PP1/RNB2RK1 b - - 1 10,9510,,0.004044503904879093,,0-1
rn1q1rk1/ppp4p/4pppn/6N1/3P4/3Q3P/PP2bPP1/RNB2R1K b - - 3 11,14365,,0.004240209702402353,,0-1
rn1q1rk1/ppp4p/4p1p1/8/3P1P2/3Q3P/PP2b1P1/RNB2R1K b - - 0 12,17560,,0.004626309033483267,,0-1
rn1q1rk1/ppp5/4p1pp/3P4/5P2/3Q3P/PP2b1P1/RNB2R1K b - - 0 13,18155,2.3877856731414795,0.005061180330812931,0.01208501388310057,0-1
r2q1rk1/ppp5/n3p1pp/3P4/5P2/N2Q3P/PP2b1P1/R1B2R1K b - - 2 14,3870,,0.004500345792621374,,0-1
r2q1rk1/ppp5/n3p1pp/1N1P4/5P2/7P/PP4P1/R1B2R1K b - - 1 15,12725,,0.0033058400731533766,,0-1
