fen,n,W,D,L,pW,pD,pL,mean_reward,reward_variance,result_entropy,ci95_low,ci95_high,ci95_width,ci_contains_zero,H_mean,U_mean,HU_mean,H_count,U_count,HU_count,H_fraction,U_fraction,HU_fraction
rnbqkb1r/ppp1p1pp/5p1n/1N1p4/6P1/5N2/PPPPPP1P/R1BQKB1R b KQkq - 0 4,24,16,2,6,0.6666666666666666,0.08333333333333333,0.25,0.41666666666666663,0.7430555555555556,1.188721875540867,0.07179849631296331,0.76153483702037,0.6897363407074066,False,1.1456204652786255,0.016911417478695512,0.01599827764003159,1,24,1,0.041666666666666664,1.0,0.041666666666666664
rnbqkb1r/ppp1p1pp/5p2/1N1p4/8/7B/PPPPPP1P/R1BQK2R b KQkq - 1 5,14,9,1,4,0.6428571428571429,0.07142857142857142,0.2857142857142857,0.3571428571428572,0.8010204081632653,1.1981174211304033,-0.11167685481586148,0.825962569101576,0.9376394239174375,True,,0.016596813486622914,,0,14,0,0.0,1.0,0.0
3qkb1r/1pp1p1pp/5p2/3p4/8/8/PPPPPP1P/R1BQK2R b KQk - 0 7,15,11,0,4,0.7333333333333333,0.0,0.26666666666666666,0.4666666666666666,0.7822222222222223,0.8366407419411672,0.019089898182680476,0.9142434351506528,0.8951535369679723,False,,0.0323708962649107,,0,15,0,0.0,1.0,0.0
rnbqkb1r/pppp2pp/4pp1n/1N6/6P1/5N2/PPPPPP1P/R1BQKB1R b KQkq - 0 4,13,5,2,6,0.38461538461538464,0.15384615384615385,0.46153846153846156,-0.07692307692307693,0.8402366863905326,1.4604846813131116,-0.5752074126812643,0.4213612588351105,0.9965686715163748,True,,0.016371720327207677,,0,13,0,0.0,1.0,0.0
r1bqk2r/1p1p2pp/2p1p2n/4P3/3P4/8/P1P2P1P/R1BQKB1R w KQkq - 0 11,11,9,1,1,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.7272727272727273,0.3801652892561984,0.8658566174572235,0.3629066147212097,1.091638839824245,0.7287322251030353,False,,0.021239485083655876,,0,11,0,0.0,1.0,0.0
r1bqk2r/1p1p3p/2p1p1pn/4P2Q/3P4/8/P1P2P1P/R1B1KB1R w KQkq - 0 12,11,9,1,1,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.7272727272727273,0.3801652892561984,0.8658566174572235,0.3629066147212097,1.091638839824245,0.7287322251030353,False,0.06615370139479637,0.02243027336556803,0.0016205556476271386,4,11,4,0.36363636363636365,1.0,0.36363636363636365
rnbqkb1r/p1p1p1pp/5p1n/1p1pN3/3P2P1/2N5/PPP1PP1P/R1BQKB1R b KQkq - 1 5,62,37,4,21,0.5967741935483871,0.06451612903225806,0.3387096774193548,0.2580645161290323,0.8688865764828304,1.2285763038284059,0.026040045665779082,0.4900889865922855,0.4640489409265064,False,,0.035292295558798696,,0,62,0,0.0,1.0,0.0
rnbqkb1r/p1p1p1pp/7n/1p1p4/3PP1P1/2N5/PPP2P1P/R1BQKB1R b KQkq - 0 6,23,9,4,10,0.391304347826087,0.17391304347826086,0.43478260869565216,-0.04347826086956519,0.8241965973534972,1.491013870758994,-0.4145001920676898,0.3275436703285594,0.7420438623962492,True,1.2761776447296143,0.03160122790090416,0.05440985448479374,1,23,1,0.043478260869565216,1.0,0.043478260869565216
rnbqk1nr/pppp1Np1/7p/4pp2/1b1P4/2P5/PP2PPPP/RNBQKB1R b KQkq - 1 5,20,11,2,7,0.55,0.1,0.35,0.20000000000000007,0.86,1.3366664819166874,-0.20642678220049343,0.6064267822004936,0.8128535644009871,True,0.3344870401280267,0.02235372131690383,0.007330943110517419,7,20,7,0.35,1.0,0.35
rnb1k1nr/pppp1Np1/7p/4pp2/1b1P3q/2P3P1/PP2PP1P/RNBQKB1R b KQkq - 0 6,20,11,2,7,0.55,0.1,0.35,0.20000000000000007,0.86,1.3366664819166874,-0.20642678220049343,0.6064267822004936,0.8128535644009871,True,1.8748192588488262,0.02260688878595829,0.04272619131740878,18,20,18,0.9,1.0,0.9
rnbqkb2/ppp3p1/8/3ppp2/4P3/8/PPPP1PPP/RNBQKB1R b KQq - 0 4,12,10,0,2,0.8333333333333334,0.0,0.16666666666666666,0.6666666666666667,0.5555555555555555,0.6500224216483541,0.2449495627061134,1.0883837706272201,0.8434342079211068,False,1.2091771023614066,0.04672699669996897,0.055007130403895044,7,12,7,0.5833333333333334,1.0,0.5833333333333334
rnbqkb2/ppp5/6p1/3ppp2/3PP3/8/PPP2PPP/RNBQKB1R b KQq - 0 5,10,10,0,0,1.0,0.0,0.0,1.0,0.0,-0.0,1.0,1.0,0.0,False,1.9615738153457642,0.021102268248796463,0.04018793704466961,5,10,5,0.5,1.0,0.5
rnbqkb1r/p1p3pp/4p2n/1p1p4/3PP1PP/2N5/PPP2P2/R1BQKB1R b KQkq - 0 7,13,5,2,6,0.38461538461538464,0.15384615384615385,0.46153846153846156,-0.07692307692307693,0.8402366863905326,1.4604846813131116,-0.5752074126812643,0.4213612588351105,0.9965686715163748,True,1.7230611869267054,0.027108117938041687,0.04883876219133849,7,13,7,0.5384615384615384,1.0,0.5384615384615384
rnbqkb1r/1pp1p1pp/p4p1n/3pN3/3P2P1/2N5/PPP1PP1P/R1BQKB1R b KQkq - 1 5,20,13,3,4,0.65,0.15,0.2,0.45,0.6475000000000001,1.278897902987479,0.09734261765848101,0.8026573823415191,0.705314764683038,False,,0.02736082496121526,,0,20,0,0.0,1.0,0.0
rnbqk1nr/pppp1pp1/7p/4p3/1b1PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4,10,3,3,4,0.3,0.3,0.4,-0.10000000000000003,0.69,1.5709505944546684,-0.614840420545915,0.4148404205459149,1.02968084109183,True,0.6026260375976562,0.01574196182191372,0.008744241709458356,5,10,5,0.5,1.0,0.5
rnbqkb1r/pp1pp1pp/2p2p1n/8/8/2N2N1P/PPPPPPP1/R1BQKB1R w KQkq - 0 4,21,16,5,0,0.7619047619047619,0.23809523809523808,0.0,0.7619047619047619,0.18140589569161003,0.7918583525674836,0.5797400956677012,0.9440694281418225,0.36432933247412125,False,,0.007174950669563952,,0,21,0,0.0,1.0,0.0
rnbqkb1r/pp1pp1pp/2p4n/8/8/2N4P/PPPPPPP1/R1BQKB1R w KQkq - 0 5,22,18,4,0,0.8181818181818182,0.18181818181818182,0.0,0.8181818181818182,0.14876033057851235,0.6840384356390417,0.6570132610083648,0.9793503753552717,0.32233711434690693,False,,0.010671748652715574,,0,22,0,0.0,1.0,0.0
